                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.68345,                    0.6,                0.60888,                0.31477,                    nan,                    nan,                    nan,             0.00066454,             0.00066454,             0.00066454
                      2,                    nan,                    nan,                    nan,                0.62461,                0.64286,                0.60508,                0.34101,                    nan,                    nan,                    nan,              0.0011994,              0.0011994,              0.0011994
                      3,                    nan,                    nan,                    nan,                0.81956,                0.62857,                0.71038,                0.35824,                    nan,                    nan,                    nan,              0.0016023,              0.0016023,              0.0016023
                      4,                    nan,                    nan,                    nan,                0.87515,                0.58571,                0.67127,                0.40878,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      5,                    nan,                    nan,                    nan,                0.78733,                0.68757,                0.70516,                0.43576,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                      6,                    nan,                    nan,                    nan,                0.90913,                0.67143,                0.75662,                0.45042,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                      7,                    nan,                    nan,                    nan,                0.94514,                0.68571,                0.79628,                0.47197,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                      8,                    nan,                    nan,                    nan,                0.88183,                0.74627,                0.78344,                0.49308,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                      9,                    nan,                    nan,                    nan,                 0.8317,                0.74286,                0.80471,                0.49822,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     10,                    nan,                    nan,                    nan,                 0.9082,                0.70677,                0.78326,                0.50819,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
