                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.701,                 1.2303,                 1.5841,                0.91283,                  0.632,                0.75224,                0.48727,                 1.4573,                0.96618,                 1.3744,             0.00066454,             0.00066454,             0.00066454
                      2,                 1.3636,                0.89968,                 1.2612,                0.87678,                  0.712,                0.79772,                0.54211,                 1.3089,                0.81296,                 1.2813,              0.0013048,              0.0013048,              0.0013048
                      3,                  1.339,                0.88082,                  1.238,                0.93202,                  0.648,                0.79446,                0.55452,                 1.2568,                0.83207,                 1.2378,              0.0019188,              0.0019188,              0.0019188
                      4,                 1.3115,                 0.8543,                 1.2215,                0.94612,                0.70239,                0.81812,                0.53704,                  1.291,                0.79264,                 1.2364,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2941,                0.83288,                 1.2053,                0.85348,                  0.744,                0.83897,                0.56693,                 1.2601,                0.75977,                 1.2263,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2768,                0.80898,                 1.1929,                0.93038,                 0.6415,                0.83303,                 0.5387,                 1.3318,                0.81615,                 1.2637,               0.001802,               0.001802,               0.001802
                      7,                 1.2671,                0.79338,                 1.1734,                0.83551,                  0.768,                0.87574,                0.59256,                 1.2078,                0.73356,                 1.1898,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2574,                0.79079,                 1.1816,                0.80501,                  0.768,                0.84738,                0.57728,                  1.214,                0.78793,                 1.2056,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2373,                0.76615,                 1.1616,                0.87714,                0.79959,                0.87587,                0.60621,                  1.213,                0.68942,                 1.1984,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2477,                0.75643,                 1.1632,                0.82768,                0.84536,                0.87905,                0.60283,                 1.1996,                0.67743,                 1.1861,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2197,                0.73243,                  1.144,                0.81769,                  0.832,                0.88888,                0.59758,                 1.2052,                0.68315,                 1.1808,               0.001604,               0.001604,               0.001604
                     12,                 1.2197,                0.73776,                 1.1486,                 0.8645,                   0.76,                0.87727,                0.61544,                 1.1383,                0.70158,                 1.1499,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1993,                0.71682,                 1.1354,                0.86438,                0.81582,                0.89179,                0.62295,                 1.1639,                 0.6503,                 1.1538,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1983,                0.71258,                 1.1259,                0.86662,                0.83164,                 0.8927,                0.61771,                 1.1506,                  0.645,                 1.1433,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1952,                0.70769,                   1.13,                 0.8981,                  0.768,                0.88423,                0.61235,                 1.1791,                0.65392,                 1.1707,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1823,                0.69639,                 1.1253,                0.84559,                  0.808,                0.88695,                0.61745,                 1.1738,                0.66054,                 1.1747,               0.001406,               0.001406,               0.001406
                     17,                 1.1768,                0.68787,                 1.1201,                0.92908,                  0.816,                0.90467,                 0.6152,                 1.2048,                0.61525,                 1.1779,              0.0013664,              0.0013664,              0.0013664
